averageVehicleSpeed;averageDistanceHeadway;percentageLongVehicles;vehicleFlow;occupancy
106;56;24;1020;8
117;73;0;600;3
103;69;29;420;4
73;255;0;60;0
37;255;0;60;1
120;255;0;120;0
118;55;0;180;0
95;39;0;2220;12
110;152;0;480;2
81;64;6;1200;10
101;207;25;480;4
113;107;15;480;2
112;255;16;360;2
97;148;46;660;8
99;99;19;960;8
115;255;13;480;3
116;140;8;720;4
93;86;33;1080;10
96;255;33;180;2
127;120;0;540;2
103;68;24;1260;10
91;50;50;1200;15
68;75;20;600;7
95;100;50;480;5
125;153;0;360;1
94;255;0;180;1
78;255;0;240;2
90;201;15;420;3
53;36;11;540;8
34;27;17;720;13
60;42;9;660;8
92;119;0;780;5
96;255;0;1380;8
71;154;0;420;2
88;83;25;960;7
93;93;0;900;5
107;151;14;900;7
107;255;0;1260;7
47;133;0;120;1
125;255;0;720;3
98;150;29;480;4
111;160;0;120;0
52;75;100;60;6
73;54;0;1260;11
119;86;0;180;0
95;114;9;660;6
139;255;0;60;0
118;255;0;360;2
109;255;0;420;2
117;255;0;120;1
120;255;12;540;3
103;76;19;660;4
98;94;0;1020;9
102;173;34;180;1
97;134;58;420;6
112;255;0;240;1
58;64;14;420;5
114;255;17;360;3
42;21;34;180;3
68;72;10;600;6
153;255;0;60;0
111;176;0;480;3
93;255;0;60;0
140;255;0;60;0
121;166;10;600;4
118;130;0;780;3
129;255;0;60;0
103;117;42;720;8
115;184;0;240;0
119;135;15;780;5
131;217;0;180;0
108;126;12;540;3
110;95;12;1020;7
131;145;0;240;1
89;255;100;120;2
119;109;0;480;2
105;128;9;660;4
164;214;0;300;1
129;192;20;300;2
80;167;34;180;2
130;106;0;1140;6
122;163;0;120;0
100;96;0;960;5
96;119;0;480;2
125;134;15;420;2
94;255;0;120;0
82;30;0;180;0
59;22;25;480;7
92;103;37;660;7
94;49;12;540;3
120;203;34;180;1
100;255;50;120;1
111;97;0;600;3
83;255;100;60;1
99;105;27;900;8
53;195;0;300;3
67;35;6;960;7
70;53;0;960;8
36;37;9;660;10
59;44;10;1200;13
79;42;4;1320;10
50;255;0;60;1
42;27;0;120;1
115;255;0;240;1
102;50;27;660;5
127;255;0;300;1
137;255;0;120;0
84;93;0;840;5
67;70;0;780;7
98;142;11;540;4
122;255;0;360;2
117;183;0;300;1
126;255;0;60;0
84;255;0;120;1
69;37;25;240;3
83;106;0;60;0
51;63;19;660;11
98;255;0;120;1
53;255;100;60;1
60;255;100;60;1
38;255;0;60;0
162;255;0;300;1
97;105;0;960;5
120;98;0;180;0
127;255;0;60;0
101;114;0;900;5
92;116;19;660;6
123;255;0;120;0
108;110;0;660;3
83;82;10;600;5
60;134;17;420;4
80;114;0;480;3
119;255;0;180;1
174;255;0;60;0
93;143;43;420;4
95;98;58;840;12
109;166;0;60;0
114;255;38;480;5
104;80;12;1080;8
116;255;0;300;1
70;55;22;1140;11
81;83;7;900;6
109;56;25;480;4
118;37;0;120;0
125;177;15;420;2
129;255;0;60;0
107;42;10;600;3
109;73;23;1200;8
114;79;5;1260;6
98;73;34;360;4
89;233;0;180;1
93;140;0;240;1
90;184;17;360;3
56;97;13;540;6
117;255;0;180;1
101;175;0;360;2
125;222;0;420;2
119;70;12;540;4
116;228;0;180;0
102;183;40;360;3
128;255;0;180;1
29;56;0;300;6
107;165;50;360;4
93;158;0;420;3
94;255;0;120;0
96;173;0;540;4
106;255;0;60;0
79;255;0;60;0
75;111;12;540;5
90;255;100;60;1
82;44;8;1680;15
69;43;23;1320;14
66;69;6;1020;9
108;167;50;420;2
123;255;0;120;0
134;255;0;60;0
112;26;0;420;2
31;30;0;120;1
126;56;0;300;1
114;53;9;660;4
58;106;0;240;3
111;203;25;480;4
130;135;0;180;0
93;115;24;780;7
98;60;50;600;8
94;255;0;180;1
126;58;0;300;1
145;255;50;120;0
123;157;40;600;5
92;142;62;480;6
118;175;0;480;2
89;122;72;480;6
126;255;0;60;0
88;255;0;60;0
113;119;0;180;0
107;91;0;360;2
119;255;0;60;0
111;255;0;480;2
135;194;0;180;0
98;105;19;960;6
87;103;28;660;6
111;175;0;240;1
66;25;0;480;4
45;74;17;360;6
86;85;6;960;7
91;70;28;1260;12
72;84;0;600;5
104;255;100;120;1
122;255;0;240;1
56;70;12;540;5
176;255;0;60;1
109;117;0;180;0
77;81;20;660;5
90;145;0;660;3
